Year,City,Sport,Athlete,Country,Gender,Event,Medal
1994,Lillehammer,Biathlon,"TARASOV, Sergei",RUS,Men,10KM,Bronze
1994,Lillehammer,Biathlon,"TCHEPIKOV, Sergei",RUS,Men,10KM,Gold
1994,Lillehammer,Biathlon,"TARASOV, Sergei",RUS,Men,20KM,Gold
1994,Lillehammer,Biathlon,"DRATSCHEV, Vladimir",RUS,Men,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"KIRIENKO, Valeri",RUS,Men,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"TARASOV, Sergei",RUS,Men,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"TCHEPIKOV, Sergei",RUS,Men,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"NOSKOVA, Louiza",RUS,Women,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"REZTSOVA, Anfisa",RUS,Women,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"SNYTINA, Natalia",RUS,Women,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"TALANOVA, Nadejda",RUS,Women,4X7.5KM Relay,Gold
1994,Lillehammer,Skating,"GRISCHUK, Pasha",RUS,Women,Ice Dancing,Gold
1994,Lillehammer,Skating,"PLATOV, Evgeny",RUS,Men,Ice Dancing,Gold
1994,Lillehammer,Skating,"USOVA, Maya",RUS,Women,Ice Dancing,Silver
1994,Lillehammer,Skating,"ZHULIN, Aleksandr",RUS,Men,Ice Dancing,Silver
1994,Lillehammer,Skating,"URMANOV, Aleksei",RUS,Men,Individual,Gold
1994,Lillehammer,Skating,"GORDEYEVA, Yekaterina",RUS,Women,Pairs,Gold
1994,Lillehammer,Skating,"GRINKOV, Sergey",RUS,Men,Pairs,Gold
1994,Lillehammer,Skating,"DMITRIYEV, Artur",RUS,Men,Pairs,Silver
1994,Lillehammer,Skating,"MISHKUTYONOK, Natalya",RUS,Women,Pairs,Silver
1994,Lillehammer,Skating,"KLEVCHENYA, Sergey",RUS,Men,1000M,Bronze
1994,Lillehammer,Skating,"FEDOTKINA, Svetlana",RUS,Women,1500M,Silver
1994,Lillehammer,Skating,"BAJANOVA, Svetlana",RUS,Women,3000M,Gold
1994,Lillehammer,Skating,"GOLUBEV, Aleksandr",RUS,Men,500M,Gold
1994,Lillehammer,Skating,"KLEVCHENYA, Sergey",RUS,Men,500M,Silver
1994,Lillehammer,Skiing,"GLADISHEVA, Svetlana",RUS,Women,Super-G,Silver
1994,Lillehammer,Skiing,"GAVRILJUK, Nina",RUS,Women,15KM Mass Start,Bronze
1994,Lillehammer,Skiing,"EGOROVA, Ljubov",RUS,Women,15KM Mass Start,Silver
1994,Lillehammer,Skiing,"EGOROVA, Ljubov",RUS,Women,4X5KM Relay,Gold
1994,Lillehammer,Skiing,"GAVRILJUK, Nina",RUS,Women,4X5KM Relay,Gold
1994,Lillehammer,Skiing,"LAZUTINA, Larissa",RUS,Women,4X5KM Relay,Gold
1994,Lillehammer,Skiing,"VAELBE, Elena",RUS,Women,4X5KM Relay,Gold
1994,Lillehammer,Skiing,"EGOROVA, Ljubov",RUS,Women,5KM,Gold
1994,Lillehammer,Skiing,"EGOROVA, Ljubov",RUS,Women,Combined 5KM + 10KM Pursuit,Gold
1994,Lillehammer,Skiing,"SHUPLETSOV, Sergei",RUS,Men,Moguls,Silver
1994,Lillehammer,Skiing,"KOZHEVNIKOVA, Yelizaveta",RUS,Women,Moguls,Bronze
1998,Nagano,Biathlon,"DRATSCHEV, Vladimir",RUS,Men,4X7.5KM Relay,Bronze
1998,Nagano,Biathlon,"MAIGOUROV, Victor",RUS,Men,4X7.5KM Relay,Bronze
1998,Nagano,Biathlon,"MOUSLIMOV, Pavel",RUS,Men,4X7.5KM Relay,Bronze
1998,Nagano,Biathlon,"TARASOV, Sergei",RUS,Men,4X7.5KM Relay,Bronze
1998,Nagano,Biathlon,"AKHATOVA, Albina",RUS,Women,4X7.5KM Relay,Silver
1998,Nagano,Biathlon,"KOUKLEVA, Galina",RUS,Women,4X7.5KM Relay,Silver
1998,Nagano,Biathlon,"MELNIK, Olga",RUS,Women,4X7.5KM Relay,Silver
1998,Nagano,Biathlon,"ROMASKO, Olga",RUS,Women,4X7.5KM Relay,Silver
1998,Nagano,Biathlon,"KOUKLEVA, Galina",RUS,Women,7.5KM,Gold
1998,Nagano,Ice Hockey,"BURE, Pavel",RUS,Men,Ice Hockey,Silver
1998,Nagano,Ice Hockey,"BURE, Valeri",RUS,Men,Ice Hockey,Silver
1998,Nagano,Ice Hockey,"CHEVTSOV, Oleg",RUS,Men,Ice Hockey,Silver
1998,Nagano,Ice Hockey,"FEDOROV, Sergei",RUS,Men,Ice Hockey,Silver
1998,Nagano,Ice Hockey,"GONCHAR, Sergei",RUS,Men,Ice Hockey,Silver
1998,Nagano,Ice Hockey,"GOUSSAROV, Aleksei",RUS,Men,Ice Hockey,Silver
